X,Y
1670.34, 2764.07
1761.54, 2685.24
1850.75, 2609.30
1937.97, 2536.06
2023.20, 2465.31
2106.47, 2396.86
2187.76, 2330.52
2267.08, 2266.09
2344.44, 2203.37
2419.85, 2142.18
2493.31, 2082.30
2564.81, 2023.56
2634.38, 1965.74
2702.01, 1908.66
2767.72, 1852.13
2831.49, 1795.93
2893.34, 1739.89
2953.28, 1683.80
3011.31, 1627.46
3067.43, 1570.69
3121.65, 1513.29
3173.98, 1455.05
3224.41, 1395.80
3272.96, 1335.32
3319.63, 1273.42
3364.42, 1209.91
3407.35, 1144.59
3448.41, 1077.27
3487.60, 1007.75
3524.95, 935.84
3560.44, 861.33
3594.09, 784.04
3625.89, 703.77
3655.87, 620.32
3684.01, 533.49
3710.33, 443.10
3734.83, 348.94
3757.51, 250.82
3778.38, 148.54
3797.45, 41.92
3814.72, -69.25
3830.17, -184.85
3843.73, -304.38
3855.35, -427.32
3864.97, -553.14
3872.52, -681.32
3877.94, -811.35
3881.18, -942.69
3882.16, -1074.81
3880.84, -1207.21
3877.14, -1339.35
3871.01, -1470.71
3862.39, -1600.77
3851.21, -1729.00
3837.41, -1854.89
3820.94, -1977.89
3801.72, -2097.51
3779.71, -2213.20
3754.84, -2324.45
3727.04, -2430.73
3696.27, -2531.54
3662.53, -2626.79
3625.93, -2716.68
3586.53, -2801.41
3544.43, -2881.19
3499.71, -2956.25
3452.45, -3026.77
3402.74, -3092.99
3350.66, -3155.10
3296.29, -3213.32
3239.72, -3267.85
3181.04, -3318.91
3120.32, -3366.71
3057.65, -3411.45
2993.12, -3453.35
2926.81, -3492.62
2858.80, -3529.46
2789.18, -3564.09
2718.03, -3596.72
2645.43, -3627.55
2571.48, -3656.80
2496.25, -3684.68
2419.83, -3711.39
2342.30, -3737.15
2263.74, -3762.17
2184.25, -3786.66
2103.90, -3810.82
2022.78, -3834.88
1940.97, -3859.02
1858.56, -3883.48
1775.62, -3908.46
1692.26, -3934.16
1608.54, -3960.80
1524.55, -3988.59
1440.39, -4017.73
1356.12, -4048.44
1271.84, -4080.94
1187.62, -4115.42
1103.56, -4152.09
1019.74, -4191.18
